filename,actual,predicted
st_388.wav,Mero phone ko camera damaged xa.,مِروフョərお願い ச180
st_389.wav,Let's complete the work today itself.,Let's complete the work today itself.
st_390.wav,Maile chai github repo clone gare.,مீLEYSHIги top-rapeина cloangare
st_391.wav,Tyo teacher le question bank pathaunu bhayo.,ھو ٹیٹھر لیکویشن بینک پٹھاہنو وائوک
st_392.wav,Please fill the attendance form.,lightly take off terminus
st_393.wav,Mero laptop ko RAM upgrade garnu parxa.,Και நی correlated lap 3ч్ физeeeeeeeeee
st_394.wav,Tyo app ko interface user friendly xa.,tu app co interface user friendly shop
st_395.wav,Maile chai tyo topic revise gare yesterday.,elia
st_396.wav,Let's start practical from today.,Let's start practical from today.
st_397.wav,Mero phone repair ma cha ahile.,Mero Foon repaired Microsoft's hiding
st_398.wav,Please print the document.,Please print the document.
st_399.wav,Tyo diagram explain garna sir le bhaneko.,kview เจイグク过画店 Innovation
st_400.wav,Maile chai tyo output verify gare.,مуль scaler
st_401.wav,Mero net connection thik cha ajhai.,می Harold Netconle xiулuj Physicii
st_402.wav,Please join the google meet.,Please join the gold meat.
st_403.wav,Tyo code execution time lagxa.,Fio call execution time laxar.
st_404.wav,Maile chai tyo project deploy gare.,می Xu passe
st_405.wav,Tyo teacher ko lecture record vayo.,..TO마 your teacher callICURE dork you toructure your record video
st_406.wav,Let's finalize documentation today.,Let's finalize the documentation today.
st_407.wav,Mero phone ko mic kam gariraixa.,white moon can't stop
st_408.wav,Please send the invoice copy.,Please send the invoice copy.
st_409.wav,Tyo diagram ma label halna bhulecha.,语DIGRAAM Master
st_410.wav,Maile chai tyo presentation prepare gare.,Moilé Chaitu Presentation Prepare Gare
st_411.wav,Tyo question ko solution easy xa.,ھوک کششن کو سولسان ییزیسا
st_412.wav,Please finish the notes today.,"journalise ,олжو your course here ."
st_413.wav,Mero assignment due date bholi ho.,Nero Assignment Due Date Bholyo
st_414.wav,Let's practice viva questions.,Let's practice Viva Koetans.
st_415.wav,Maile chai tyo mail draft gare.,bermayelé baith ryo mele draft gary
st_416.wav,Tyo topic aaja padhna parxa.,Nagliya
st_417.wav,Please shutdown your PC properly.,Please shut down your PC properly.
st_418.wav,Mero phone ko cover harayo.,"¡M Brown,get out of here!"
st_419.wav,Tyo teacher le code explain garnu bhayo.,wagen vara Kaw
st_420.wav,Maile chai tyo code optimize gare.,えぇpper
st_421.wav,Let's check the github issues.,Let's check the guitar issues.
st_422.wav,Mero presentation kal submit garna parxa.,Nero presentation bolis omit Gandha Partha
st_423.wav,Please arrange the chairs properly.,tourism facilities & facilities
st_424.wav,Tyo file rename garna parxa.,auen
st_425.wav,Maile chai tyo task assign gare.,ειilai chaichiu task رة 什ngare
st_426.wav,Mero internet off vayo bihanai.,Meeru Internet of BioBhanei
st_427.wav,Please restart the system.,Please restart the system.
st_428.wav,Tyo diagram ko scale milena.,"¿C Return to the phone, sir?"
st_429.wav,Maile chai tyo video record gare.,noile chaita videorleou recordgari
st_430.wav,Tyo teacher le feedback diye ramro cha.,ress
st_431.wav,Let's finish this code today.,Let's finish the code today.
st_432.wav,Mero bike ko key khoi bhaneko xu.,میرو بائک ککی کویوانی کچو
st_433.wav,Please join the zoom meeting.,Please join the Zoom meeting.
st_434.wav,Tyo code ma syntax error xa re.,So kodma syntech 0 challeg
st_435.wav,Maile chai tyo file download gare.,மائلwentshire쓸کیlaitúXT塵 Saikiu File Download Lastly
st_436.wav,Tyo topic dherai important xa.,Tuyatopic Derek
st_437.wav,Please mute your mic during call.,his mute your mic during call.
st_438.wav,Mero laptop ko fan awaj gariraixa.,embrace karma bol madam goül
st_439.wav,Let's finalize the budget today.,Let's finalize the budget today.
st_440.wav,Maile chai tyo pdf upload gare.,からら go to Go to my cat
st_441.wav,Tyo question ko answer prepare garnu.,ği sipông
st_442.wav,Please check the file size.,Please check the file size.
st_443.wav,Mero phone ko display damage vayo.,Mero phone could display damage while
st_444.wav,Tyo teacher le example diye ramro.,Tutcherle example DA Ramru
st_445.wav,Maile chai tyo app uninstall gare.,au- le- cycle app can install Gary
st_446.wav,Let's update the report today.,Let's update the report today.
st_447.wav,Mero assignment file missing xa.,Meru Assignment File Missing Talk
st_448.wav,Please send your roll number.,Please send your role number.
st_449.wav,Tyo diagram ma color halna parxa.,Two diagram macaroni Annaur birthday
st_450.wav,Maile chai tyo program run gare.,Paun bho kali
st_451.wav,Mero internet connection problem xa.,"میروں Internments Connection Problems,"
st_452.wav,Please submit your assignment soon.,Please submit your assignment soon.
st_453.wav,Tyo class kal cancel vayo re.,tu class boule cancel void
st_454.wav,Maile chai tyo note upload gare drive ma.,Moelle chick physiological knowledge
st_455.wav,Tyo teacher ko class recording cha.,tu teacher go class recording cha
st_456.wav,Let's start the new module today.,Let's start the new module today.
st_457.wav,Mero phone charger khoi bhaneko xu.,"Nero phone 4th Arm,OOM00 whom"
st_458.wav,Please mute yourself before entering.,Please mute your cells before entering.
st_459.wav,Tyo diagram ma scale wrong cha.,2 diagram my scale wrong side
st_460.wav,Maile chai tyo file rename gare.,Boyle x growth file renamed awarded
st_461.wav,Tyo question ko solution explain gardinu.,ھو پرویشن کو سالوزن اکسپلین گردینو
st_462.wav,Please check your spam folder.,Please check your spam folder.
st_463.wav,Mero presentation marks aayo.,Miru Presentation Marks I.O.
st_464.wav,Let's finish this chapter today.,Let's finish this chapter today.
st_465.wav,Maile chai tyo repo push gare.,malice till ok pu �
st_466.wav,Tyo app update nagareko xu maile.,Wiltgelia
st_467.wav,Please clean your downloads folder.,Please clean your downloads folder.
st_468.wav,Mero bike service ma cha.,mere web bikes or갱ses maturity
st_469.wav,Tyo teacher le homework pathaunu bhayo.,QT-cher le OMW-URCK plataforma bio
st_470.wav,Maile chai tyo bug fix gare.,Mae lga thay kui ki ngary.
st_471.wav,Let's start project report today.,Let's start project report today.
st_472.wav,Mero phone password change gareko xu.,eping background
st_473.wav,Please upload your photo.,Please upload your photo
st_474.wav,Tyo diagram draw garna alik garo lagyo.,Mooirosakary then吒
st_475.wav,Maile chai tyo error solve gare finally.,ільки siq儿 Air or Solf Gorge
st_476.wav,Mero net recharge garnai parxa aaja.,میرு نیٹ ریچارز گرنے پر ساہزا
st_477.wav,Please join the class early tomorrow.,۔ ۔ ۔
st_478.wav,Tyo teacher le attendance linu bhayo.,tichar le attendants lino bio
st_479.wav,Maile chai tyo topic revise gare kal.,chu
st_480.wav,Tyo question answer garnai parxa.,dhuch pw fit sense answer guardney paar jesta
st_481.wav,Let's plan for tomorrow's presentation.,Let's plan for tomorrow's presentation.
st_482.wav,Mero laptop ko keyboard kam gariraixa.,میرு Laptop کو کی بھڑ کام گری رہی چھا
st_483.wav,Please delete the duplicate files.,Please delete the duplicate files.
st_484.wav,Tyo app update garna bhule.,Philes
st_485.wav,Maile chai tyo diagram banaune try gare.,Royale Saithyu Diagram L Martha dhag to just press the olex you have Configured from the naked people in the mirror
st_486.wav,Tyo teacher le extra class rakhnu bhayo.,2 Teacher Le Extra Class Rakhnubayob
st_487.wav,Please submit your practical file.,Please submit your practical file.
st_488.wav,Mero assignment ko plagiarism check garnu parxa.,Nero Assignment Cook plays the rhythm check Godnu Parso
st_489.wav,Let's finish the presentation today itself.,Let's finish the presentation today itself.
st_490.wav,Maile chai tyo video upload gare youtube ma.,scores
st_491.wav,Tyo question ko explanation ramro xa.,ھو کویسن کو اکسپلینے سن رامرو سا
st_492.wav,Please logout from your gmail.,Please log out from your Gmail.
st_493.wav,Mero phone ko battery fast discharge vairaixa.,メゥロフウンフ'll go back to the results
st_494.wav,Tyo teacher le topic ramro explain garnu bhayo.,Tewel Teacher laptopik Ramero Explain GORنu Бau
st_495.wav,Maile chai tyo form fill gare already.,May les Ito from field home problema
st_496.wav,Let's complete coding practice today.,Let's complete coding practice today.
st_497.wav,Mero bike ko brake problem xa.,Miru bhai ko brek problem sa
st_498.wav,Please create new folder for this.,Please create new folder for this.
st_499.wav,Tyo diagram check garna sir le bhaneko.,father
st_500.wav,Maile chai tyo output verify gare finally.,VO Know Chocolateım
